"","1","2","3","4","5","6"
"FH - SN (º)","10.01 ± 3.11","11.19 ± 3.28","10.19 ± 3.71","10.32 ± 3.1","10.27 ± 3.97","10.46 ± 4.61"
"SNA (º)","80.57 ± 3.75","77.93 ± 3.43","80.19 ± 4.02","80.66 ± 3.44","78.55 ± 4.07","77.76 ± 4.32"
"SNB (º)","82.61 ± 4.16","78.38 ± 3.43","87.5 ± 3.89","83.29 ± 3.45","82.72 ± 3.38","84.96 ± 4.6"
"ANB (º)","-2.04 ± 2.45","-0.45 ± 2.43","-7.31 ± 2.88","-2.64 ± 2.46","-4.17 ± 2.58","-7.2 ± 3.4"
"SND (º)","80.46 ± 3.88","76.06 ± 3.23","83.98 ± 4.24","81.22 ± 3.52","80.08 ± 3.27","81.65 ± 4.66"
"Y-Axis (SGn-SN) (º)","64.43 ± 3.56","71.07 ± 3.25","62.98 ± 3.87","65.19 ± 3.27","68.7 ± 3.64","68.71 ± 4.8"
"SN - GoGn (º)","24.42 ± 4.7","35.39 ± 5.4","29.6 ± 5.59","32.18 ± 4.45","36.32 ± 5.26","36.85 ± 7.44"
"Cranio-Mx Base/SN-Palatal Plane (º)","7.91 ± 3.44","9.96 ± 3.65","7.4 ± 3.55","8.25 ± 3.79","7.71 ± 4.18","6.82 ± 4.03"
"Occ Plane to SN (º)","12.27 ± 4.35","18.63 ± 4.03","13.36 ± 4.55","14.4 ± 4.95","17.5 ± 5.23","16.53 ± 5.14"
"Occ Plane to FH (º)","2.26 ± 3.98","7.43 ± 3.94","3.17 ± 4.73","4.07 ± 4.79","7.23 ± 5.39","6.08 ± 5.05"
"Facial Axis-Ricketts (NaBa-PtGn)(º)","93.44 ± 3.74","85.69 ± 3.37","96.39 ± 4.81","92.67 ± 3.92","88.58 ± 3.75","90.25 ± 5.14"
"FMA (MP-FH) (º)","16.8 ± 4.45","26.72 ± 4.63","22.47 ± 4.89","24.34 ± 4.58","28.88 ± 5.76","29.83 ± 7.4"
"Lower Face Height (ANS-Xi-Pm)(º)","40.85 ± 3.52","47.68 ± 5.83","41.09 ± 3.41","43.53 ± 4.24","49.1 ± 4.09","49.03 ± 8.84"
"Facial Angle (FH-NPo) (º)","93.93 ± 3.19","90.18 ± 2.89","97.34 ± 4.12","94.59 ± 3.82","93.2 ± 3.82","94.83 ± 5.24"
"N-A-Pg (º)","-7.09 ± 5.32","-2.14 ± 4.88","-13.83 ± 6.87","-7.43 ± 5.32","-8.61 ± 4.81","-13.02 ± 8.36"
"Facial Taper (º)","69.27 ± 3.38","63.11 ± 3.62","60.2 ± 4.01","61.06 ± 3.38","57.91 ± 3.88","55.34 ± 5.83"
"Gonial/Jaw Angle (Ar-Go-Me) (º)","119.13 ± 5.94","126.44 ± 6.98","130.5 ± 6.54","129.3 ± 6.16","132.12 ± 6.23","136.26 ± 8.66"
