"Landmark","X","Y"
"A Point","42.98 ±  3.83","3.68 ±  3.13"
"B Point","48.63 ±  2.36","-38.82 ±  3.29"
"Basion","-52.78 ±  4.10","13.24 ±  3.42"
"Condylion","-40.41 ±  2.64","35.01 ±  2.79"
"Distal Aspect of Condyle","-44.91 ±  2.09","29.54 ±  3.32"
"Gonion","-24.43 ±  4.68","-32.74 ±  4.64"
"Menton","43.64 ±  2.78","-64.15 ±  2.76"
"Nasion","44.02 ±  3.81","66.08 ±  4.62"
"PNS","-6.33 ±  3.07","8.93 ±  2.32"
"Pogonion","50.55 ±  2.33","-56.75 ±  3.23"
"Ramus Point","-33.22 ±  4.12","-18.09 ±  4.76"
"Sella","-27.74 ±  2.34","54.07 ±  2.43"
